accuracy,loss,val_accuracy,val_loss,learning_rate
0.4472,1.0749,0.8306,0.6490,0.0010000000474974513
0.75,0.656786322593689,0.75,0.37875598669052124,0.0010000000474974513
0.7323,0.7101,0.8952,0.4352,0.0010000000474974513
0.9375,0.2959733307361603,0.75,0.40713226795196533,0.0010000000474974513
0.7882,0.6078,0.9126,0.3303,0.0010000000474974513
1.0,0.1404237002134323,1.0,0.2910158634185791,0.0010000000474974513
0.8142,0.4901,0.9315,0.2844,0.0010000000474974513
0.9375,0.2144148051738739,0.75,0.3998461365699768,0.0010000000474974513
0.8400,0.4551,0.9301,0.2560,0.00010000000474974513
0.8125,0.5547718405723572,1.0,0.18907885253429413,0.00010000000474974513
0.8650,0.4046,0.9355,0.2463,0.00010000000474974513
1.0,0.08472417294979095,1.0,0.11437198519706726,0.00010000000474974513
0.8652,0.4160,0.9355,0.2412,0.00010000000474974513
1.0,0.11929452419281006,0.75,1.58328378200531,0.00010000000474974513
0.8624,0.3909,0.9301,0.2399,0.00010000000474974513
1.0,0.14570483565330505,1.0,0.07774519175291061,1.0000000656873453e-05
0.8768,0.3592,0.9328,0.2398,1.0000000656873453e-05
1.0,0.09877998381853104,1.0,0.12668916583061218,1.0000000656873453e-05
0.8778,0.3737,0.9368,0.2364,1.0000000656873453e-05
1.0,0.10143452882766724,0.75,0.3561769723892212,1.0000001111620804e-06
