accuracy,loss,val_accuracy,val_loss,learning_rate
0.7153928279876709,1.0016801357269287,0.9038461446762085,0.4147540330886841,0.0010000000474974513
0.75,0.656786322593689,0.75,0.37875598669052124,0.0010000000474974513
0.8659807443618774,0.5156019330024719,0.9158653616905212,0.3520635962486267,0.0010000000474974513
0.9375,0.2959733307361603,0.75,0.40713226795196533,0.0010000000474974513
0.9104756712913513,0.36929380893707275,0.9114583134651184,0.3754313588142395,0.0010000000474974513
1.0,0.1404237002134323,1.0,0.2910158634185791,0.0010000000474974513
0.9378674626350403,0.28516024351119995,0.9202724099159241,0.32808950543403625,0.0010000000474974513
0.9375,0.2144148051738739,0.75,0.3998461365699768,0.0010000000474974513
0.9579101800918579,0.2216559648513794,0.9262820482254028,0.33138540387153625,0.0010000000474974513
0.8125,0.5547718405723572,1.0,0.18907885253429413,0.00010000000474974513
0.9669962525367737,0.18551026284694672,0.9395031929016113,0.275128036737442,0.00010000000474974513
1.0,0.08472417294979095,1.0,0.11437198519706726,0.00010000000474974513
0.9719401597976685,0.1668848693370819,0.9443109035491943,0.26618632674217224,0.00010000000474974513
1.0,0.11929452419281006,0.75,1.58328378200531,0.00010000000474974513
0.9770176410675049,0.15755221247673035,0.9451121687889099,0.26634901762008667,0.00010000000474974513
1.0,0.14570483565330505,1.0,0.07774519175291061,1.0000000656873453e-05
0.979823648929596,0.15451595187187195,0.9431089758872986,0.2643931210041046,1.0000000656873453e-05
1.0,0.09877998381853104,1.0,0.12668916583061218,1.0000000656873453e-05
0.9790219068527222,0.15625502169132233,0.9447115659713745,0.2643687129020691,1.0000000656873453e-05
1.0,0.10143452882766724,0.75,0.3561769723892212,1.0000001111620804e-06
